"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2022","1,145.45","1,089.38","1,149.91","1,072.53","26.95M","5.61%"
"Apr 01, 2022","1,084.59","1,081.15","1,094.75","1,066.64","18.09M","0.65%"
"Mar 31, 2022","1,077.60","1,094.57","1,103.14","1,076.64","16.19M","-1.50%"
"Mar 30, 2022","1,093.99","1,091.17","1,113.95","1,084.00","19.84M","-0.51%"
"Mar 29, 2022","1,099.57","1,107.99","1,114.77","1,073.11","24.32M","0.71%"
"Mar 28, 2022","1,091.84","1,065.10","1,097.88","1,053.60","33.86M","8.03%"
"Mar 25, 2022","1,010.64","1,008.00","1,021.80","997.32","20.68M","-0.32%"
"Mar 24, 2022","1,013.92","1,009.73","1,024.49","988.80","22.85M","1.48%"
"Mar 23, 2022","999.11","979.94","1,040.70","976.40","40.23M","0.52%"
"Mar 22, 2022","993.98","930.00","997.86","921.75","34.88M","7.91%"
"Mar 21, 2022","921.16","914.98","942.85","907.09","27.33M","1.74%"
"Mar 18, 2022","905.39","874.49","907.85","867.39","33.47M","3.88%"
"Mar 17, 2022","871.60","830.99","875.00","825.72","21.93M","3.73%"
"Mar 16, 2022","840.23","809.00","842.00","802.26","28.01M","4.78%"
"Mar 15, 2022","801.89","775.27","805.57","756.57","21.99M","4.63%"
"Mar 14, 2022","766.37","780.61","800.70","756.04","23.72M","-3.64%"
"Mar 11, 2022","795.35","840.20","843.80","793.77","22.35M","-5.12%"
"Mar 10, 2022","838.30","851.45","854.45","810.36","19.37M","-2.41%"
"Mar 09, 2022","858.97","839.48","860.56","832.01","19.44M","4.19%"
"Mar 08, 2022","824.40","795.53","849.99","782.17","26.65M","2.46%"
"Mar 07, 2022","804.58","856.30","866.14","804.57","23.65M","-4.02%"
"Mar 04, 2022","838.29","849.10","855.65","825.16","22.39M","-0.12%"
"Mar 03, 2022","839.29","878.77","886.44","832.60","20.26M","-4.61%"
"Mar 02, 2022","879.89","872.13","886.48","844.27","24.65M","1.80%"
"Mar 01, 2022","864.37","869.68","889.88","853.78","24.72M","-0.70%"
"Feb 28, 2022","870.43","815.01","876.86","814.71","32.77M","7.48%"
"Feb 25, 2022","809.87","809.23","819.50","782.40","25.36M","1.14%"
"Feb 24, 2022","800.77","700.39","802.48","700.00","44.76M","4.81%"
"Feb 23, 2022","764.04","830.43","835.30","760.56","31.07M","-7.00%"
"Feb 22, 2022","821.53","834.13","856.73","801.10","27.39M","-4.14%"
"Feb 18, 2022","856.98","886.00","886.87","837.61","22.83M","-2.21%"
"Feb 17, 2022","876.35","913.26","918.50","874.10","18.19M","-5.09%"
"Feb 16, 2022","923.39","914.05","926.43","901.21","16.95M","0.10%"
"Feb 15, 2022","922.43","900.00","923.00","893.38","18.99M","5.33%"
"Feb 14, 2022","875.76","861.57","898.88","853.15","22.40M","1.83%"
"Feb 11, 2022","860.00","909.63","915.96","850.70","26.55M","-4.93%"
"Feb 10, 2022","904.55","908.37","943.81","896.70","21.72M","-2.95%"
"Feb 09, 2022","932.00","935.00","946.27","920.00","16.98M","1.08%"
"Feb 08, 2022","922.00","905.53","926.29","894.80","16.91M","1.62%"
"Feb 07, 2022","907.34","923.79","947.77","902.71","20.22M","-1.73%"
"Feb 04, 2022","923.32","897.22","936.50","881.17","24.54M","3.61%"
"Feb 03, 2022","891.14","882.00","937.00","880.52","25.79M","-1.60%"
"Feb 02, 2022","905.66","928.18","931.50","889.41","21.78M","-2.75%"
"Feb 01, 2022","931.25","935.21","943.70","905.00","24.14M","-0.58%"
"Jan 31, 2022","936.72","872.71","937.99","862.05","34.63M","10.68%"
"Jan 28, 2022","846.35","831.56","857.50","792.01","44.93M","2.08%"
"Jan 27, 2022","829.10","933.36","935.39","829.00","47.74M","-11.55%"
"Jan 26, 2022","937.41","952.43","987.69","906.00","32.63M","2.07%"
"Jan 25, 2022","918.40","914.20","951.26","903.21","28.26M","-1.25%"
"Jan 24, 2022","930.00","904.76","933.51","851.47","50.37M","-1.47%"
"Jan 21, 2022","943.90","996.34","1,004.55","940.50","34.47M","-5.26%"
"Jan 20, 2022","996.27","1,009.73","1,041.66","994.00","23.10M","0.06%"
